#GeneID	PubMed_ID	Gene_name
67441593	1779750	chromosomal replication initiator protein DnaA
67441593	16753031	chromosomal replication initiator protein DnaA
67441593	21620858	chromosomal replication initiator protein DnaA
67441594	21219854	DNA polymerase III subunit beta
67441594	30366028	DNA polymerase III subunit beta
67441595	15186413	DNA replication/repair protein RecF
67441595	19451222	DNA replication/repair protein RecF
67441595	26874520	DNA replication/repair protein RecF
67441595	37081315	DNA replication/repair protein RecF
67441595	37125644	DNA replication/repair protein RecF
67441597	9868367	HDOD domain-containing protein
67441597	10943560	HDOD domain-containing protein
67441598	9490048	glycine--tRNA ligase subunit beta
67441601	7754395	amidohydrolase family protein
67441601	8550522	amidohydrolase family protein
67441601	8590465	amidohydrolase family protein
67441601	9144792	amidohydrolase family protein
67441601	9878395	amidohydrolase family protein
67441602	11886751	MOSC domain-containing protein
67441604	368024	acetyl-CoA C-acyltransferase FadA
67441604	2191949	acetyl-CoA C-acyltransferase FadA
67441604	6350283	acetyl-CoA C-acyltransferase FadA
67441604	7012144	acetyl-CoA C-acyltransferase FadA
67441605	1699931	fatty acid oxidation complex subunit alpha FadB
67441607	15103642	YigZ family protein
67441610	10473770	ArsR/SmtB family transcription factor
67441610	12829264	ArsR/SmtB family transcription factor
67441610	15808743	ArsR/SmtB family transcription factor
67441610	28436329	ArsR/SmtB family transcription factor
67441610	28512703	ArsR/SmtB family transcription factor
67441610	30191942	ArsR/SmtB family transcription factor
67441612	10423425	TrkH family potassium uptake protein
67441612	20333436	TrkH family potassium uptake protein
67441616	9126850	peptide deformylase
67441617	18430080	LysM peptidoglycan-binding domain-containing protein
67441617	24652063	LysM peptidoglycan-binding domain-containing protein
67441618	7768823	DNA-processing protein DprA
67441618	10482496	DNA-processing protein DprA
67441618	12123453	DNA-processing protein DprA
67441618	14617176	DNA-processing protein DprA
67441620	7770916	DNA topoisomerase family protein
67441620	11395412	DNA topoisomerase family protein
67441620	12042765	DNA topoisomerase family protein
67441620	17293019	DNA topoisomerase family protein
67441620	19208647	DNA topoisomerase family protein
67441620	21087076	DNA topoisomerase family protein
67441620	26435256	DNA topoisomerase family protein
67441620	39508659	DNA topoisomerase family protein
67441621	1325384	L-threonylcarbamoyladenylate synthase
67441621	21775474	L-threonylcarbamoyladenylate synthase
67441621	22378793	L-threonylcarbamoyladenylate synthase
67441623	11696555	group II truncated hemoglobin
67441623	16061809	group II truncated hemoglobin
67441623	19281958	group II truncated hemoglobin
67441623	26788940	group II truncated hemoglobin
67441623	32863222	group II truncated hemoglobin
67441626	10611359	gamma carbonic anhydrase family protein
67441626	11696553	gamma carbonic anhydrase family protein
67441626	11747907	gamma carbonic anhydrase family protein
67441626	15500694	gamma carbonic anhydrase family protein
67441630	11557134	EAL domain-containing protein
67441631	1409539	alpha/beta fold hydrolase
67441636	20434458	Der GTPase-activating protein YihI
67441638	10395550	c-type cytochrome
67441638	10647174	c-type cytochrome
67441638	12594933	c-type cytochrome
67441638	18568041	c-type cytochrome
67441638	22723177	c-type cytochrome
67441638	31252007	c-type cytochrome
67441639	17981968	ribosome biogenesis GTP-binding protein YihA/YsxC
67441639	20021644	ribosome biogenesis GTP-binding protein YihA/YsxC
67441639	21636901	ribosome biogenesis GTP-binding protein YihA/YsxC
67441639	32057832	ribosome biogenesis GTP-binding protein YihA/YsxC
67441641	26678554	isoprenoid biosynthesis glyoxalase ElbB
67441642	19919105	rhomboid family intramembrane serine protease GlpG
67441642	39136457	rhomboid family intramembrane serine protease GlpG
67441643	10735872	thiosulfate sulfurtransferase GlpE
67441643	11092948	thiosulfate sulfurtransferase GlpE
67441643	11709175	thiosulfate sulfurtransferase GlpE
67441648	10531340	3-deoxy-D-manno-octulosonic acid kinase
67441649	12691742	glycosyltransferase family 9 protein
67441649	16037492	glycosyltransferase family 9 protein
67441650	9334165	glycosyltransferase family 25 protein
67441653	9084178	glucose-1-phosphate thymidylyltransferase RfbA
